nohup: ignorando entrada

=================================== Módulo importado com sucesso ===================================

============================================= LightGBM =============================================

----------------------------------------- Ciências Humanas -----------------------------------------

243 combinações de hiperparâmetros

34 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 20, 'colsample_bytree': 1.0, 'subsample': 0.7} | RMSE: 75.5743 | Tempo: 9.4s

35 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 20, 'colsample_bytree': 1.0, 'subsample': 0.85} | RMSE: 75.5743 | Tempo: 10.6s

36 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 20, 'colsample_bytree': 1.0, 'subsample': 1.0} | RMSE: 75.5743 | Tempo: 10.3s

37 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 50, 'colsample_bytree': 0.7, 'subsample': 0.7} | RMSE: 75.5537 | Tempo: 11.5s

38 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 50, 'colsample_bytree': 0.7, 'subsample': 0.85} | RMSE: 75.5537 | Tempo: 10.5s

39 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 50, 'colsample_bytree': 0.7, 'subsample': 1.0} | RMSE: 75.5537 | Tempo: 13.0s

40 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 50, 'colsample_bytree': 0.85, 'subsample': 0.7} | RMSE: 75.5580 | Tempo: 10.4s

41 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 50, 'colsample_bytree': 0.85, 'subsample': 0.85} | RMSE: 75.5580 | Tempo: 9.9s

42 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 50, 'colsample_bytree': 0.85, 'subsample': 1.0} | RMSE: 75.5580 | Tempo: 8.8s

43 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 50, 'colsample_bytree': 1.0, 'subsample': 0.7} | RMSE: 75.5743 | Tempo: 10.1s

44 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 50, 'colsample_bytree': 1.0, 'subsample': 0.85} | RMSE: 75.5743 | Tempo: 10.4s

45 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 50, 'colsample_bytree': 1.0, 'subsample': 1.0} | RMSE: 75.5743 | Tempo: 8.5s

46 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 100, 'colsample_bytree': 0.7, 'subsample': 0.7} | RMSE: 75.5534 | Tempo: 10.5s

47 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 100, 'colsample_bytree': 0.7, 'subsample': 0.85} | RMSE: 75.5534 | Tempo: 11.0s

48 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 100, 'colsample_bytree': 0.7, 'subsample': 1.0} | RMSE: 75.5534 | Tempo: 9.6s

49 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 100, 'colsample_bytree': 0.85, 'subsample': 0.7} | RMSE: 75.5580 | Tempo: 10.3s

50 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 100, 'colsample_bytree': 0.85, 'subsample': 0.85} | RMSE: 75.5580 | Tempo: 10.4s

51 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 100, 'colsample_bytree': 0.85, 'subsample': 1.0} | RMSE: 75.5580 | Tempo: 9.8s

52 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 100, 'colsample_bytree': 1.0, 'subsample': 0.7} | RMSE: 75.5745 | Tempo: 9.9s

53 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 100, 'colsample_bytree': 1.0, 'subsample': 0.85} | RMSE: 75.5745 | Tempo: 10.9s

54 / 243 | {'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 100, 'colsample_bytree': 1.0, 'subsample': 1.0} | RMSE: 75.5745 | Tempo: 10.1s

55 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 20, 'colsample_bytree': 0.7, 'subsample': 0.7} | RMSE: 75.4771 | Tempo: 8.7s

56 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 20, 'colsample_bytree': 0.7, 'subsample': 0.85} | RMSE: 75.4771 | Tempo: 8.4s

57 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 20, 'colsample_bytree': 0.7, 'subsample': 1.0} | RMSE: 75.4771 | Tempo: 9.4s

58 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 20, 'colsample_bytree': 0.85, 'subsample': 0.7} | RMSE: 75.4659 | Tempo: 10.7s

59 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 20, 'colsample_bytree': 0.85, 'subsample': 0.85} | RMSE: 75.4659 | Tempo: 7.5s

60 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 20, 'colsample_bytree': 0.85, 'subsample': 1.0} | RMSE: 75.4659 | Tempo: 8.3s

61 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 20, 'colsample_bytree': 1.0, 'subsample': 0.7} | RMSE: 75.4763 | Tempo: 9.9s

62 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 20, 'colsample_bytree': 1.0, 'subsample': 0.85} | RMSE: 75.4763 | Tempo: 8.6s

63 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 20, 'colsample_bytree': 1.0, 'subsample': 1.0} | RMSE: 75.4763 | Tempo: 9.6s

64 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 50, 'colsample_bytree': 0.7, 'subsample': 0.7} | RMSE: 75.4769 | Tempo: 7.4s

65 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 50, 'colsample_bytree': 0.7, 'subsample': 0.85} | RMSE: 75.4769 | Tempo: 8.5s

66 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 50, 'colsample_bytree': 0.7, 'subsample': 1.0} | RMSE: 75.4769 | Tempo: 9.9s

67 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 50, 'colsample_bytree': 0.85, 'subsample': 0.7} | RMSE: 75.4702 | Tempo: 8.5s

68 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 50, 'colsample_bytree': 0.85, 'subsample': 0.85} | RMSE: 75.4702 | Tempo: 10.2s

69 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 50, 'colsample_bytree': 0.85, 'subsample': 1.0} | RMSE: 75.4702 | Tempo: 8.1s

70 / 243 | {'num_leaves': 31, 'learning_rate': 0.2, 'min_child_samples': 50, 'colsample_bytree': 1.0, 'subsample': 0.7} | RMSE: 75.4785 | Tempo: 7.8s

