nohup: ignorando entrada

=================================== Módulo importado com sucesso ===================================

============================================= XGBoost ==============================================

----------------------------------------- Ciências Humanas -----------------------------------------

243 combinações de hiperparâmetros

 1 / 243 | {'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'colsample_bytree': 0.7, 'subsample': 0.7} | RMSE: 75.7295 | Tempo: 1.6s
34 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 1, 'colsample_bytree': 1.0, 'subsample': 0.7} | RMSE: 75.5568 | Tempo: 2.1s

35 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 1, 'colsample_bytree': 1.0, 'subsample': 0.85} | RMSE: 75.5622 | Tempo: 2.1s

36 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 1, 'colsample_bytree': 1.0, 'subsample': 1.0} | RMSE: 75.5654 | Tempo: 2.1s

37 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5, 'colsample_bytree': 0.7, 'subsample': 0.7} | RMSE: 75.5543 | Tempo: 2.2s

38 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5, 'colsample_bytree': 0.7, 'subsample': 0.85} | RMSE: 75.5537 | Tempo: 2.2s

39 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5, 'colsample_bytree': 0.7, 'subsample': 1.0} | RMSE: 75.5523 | Tempo: 2.1s

40 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5, 'colsample_bytree': 0.85, 'subsample': 0.7} | RMSE: 75.5483 | Tempo: 2.2s

41 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5, 'colsample_bytree': 0.85, 'subsample': 0.85} | RMSE: 75.5521 | Tempo: 2.2s

42 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5, 'colsample_bytree': 0.85, 'subsample': 1.0} | RMSE: 75.5546 | Tempo: 2.1s

43 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5, 'colsample_bytree': 1.0, 'subsample': 0.7} | RMSE: 75.5574 | Tempo: 2.1s

44 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5, 'colsample_bytree': 1.0, 'subsample': 0.85} | RMSE: 75.5605 | Tempo: 2.1s

45 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5, 'colsample_bytree': 1.0, 'subsample': 1.0} | RMSE: 75.5651 | Tempo: 2.1s

46 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 10, 'colsample_bytree': 0.7, 'subsample': 0.7} | RMSE: 75.5514 | Tempo: 2.2s

47 / 243 | {'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 10, 'colsample_bytree': 0.7, 'subsample': 0.85} | RMSE: 75.5533 | Tempo: 2.2s

